id	lat	long	$gauge	
1556	-15.917	-5.717	Saint-Helena - Saint Helena 	
1437	-15.8	158.5	Station 55012 - STB Coral Sea	
2445	-15.021	117.989	Station 56003 - STB Indian Ocean 3	
1468	-14.946	-147.706	France - Rangiroa Atoll (Tuamotu- French Polynesia) 	
1436	-14.803	153.585	Station 55023 - STB Coral Sea	
2535	-14.29602	-178.1602	France - Leava (Futuna Island- Wallis & Futuna)	
1540	-14.277	-170.691	Samoa - Pago Pago 	
959	-14.2766	-170.6907	USA - Pago_Pago_AS 	
1490	-13.961	110.004	Station 56001 - STB Indian Ocean 1	
888	-13.86	136.4158	Australia - Groote Eylandt 	
1025	-13.8268	-171.7613	Samoa; U.S.A. - Apia_Upolu_WS 	
990	-12.97	-38.52	Brasil - Salvador_Itaparica 	
964	-12.966	40.55	Mocambique - Pemba 	
1298	-12.783	45.258	France - Dzaoudzi(Mayotte) GTS	
1297	-12.783	45.258	France - Dzaoudzi (Mayotte) FTP	
856	-12.4719	130.8458	Australia - Darwin_AU 	
844	-12.1167	96.8919	Australia - Cocos_Island_AU 	
830	-12.071	-77.174	Peru - Callao La-Punta_PE	
2449	-11.7035	43.24809	Comores - Comores	
2504	-10.7208	165.8019	Solomon Islands - Lata_Wharf_SB	
2490	-10.708	123.0597	Indonesia - Rote	
837	-10.4294	105.6693	Australia - Christmas_Island_AU 	
1268	-10.346	56.586	Mauritius - Agalega	
1458	-10.267	40.2	Tanzania - Mtwara 	
895	-9.8047	-139.0344	Polynesie Francaise (French Polynesia) - Hiva_Oa Marquesas	
66	-9.493333	-176.245	Station 51425 - 370 NM NW of Apia	
1405	-9.429	159.956	Solomon Islands - Solomon Island	
1032	-9.3898	119.2188	Indonesia - Waikelo 	
965	-9.001	-158.051	Cook Islands - Penrhyn_CK 	
953	-8.9219	-140.0953	France - Nuku_Hiva Marquesas	
822	-8.7666	115.2166	Indonesia - Benoa 	
1329	-8.731	116.072	Indonesia - Lembar	
876	-8.5025	179.1952	Tuvalu Islands - Fongafale_TV 	
1095	-8.491	-125.023	Station 46406 - 2-900 NM Southeast of Hawaii	
46	-8.488548	-125.0054	2-900 NM Southeast of Hawaii	
975	-8.2833	111.7333	Indonesia - Prigi 	
1379	-8.283	111.733	Indonesia - Prigi2	
987	-8.190194	110.798	Indonesia - Sadeng 	
1397	-7.983	131.291	Indonesia - Saumlaki	
813	-7.91666	-14.41666	UK - Ascension 	
840	-7.75	109	Indonesia - Cilicap 	
1292	-7.75	109	Indonesia - Cilacap2	
1462	-7.748	108.501	Indonesia - Pangandaran 	
2443	-7.397	-93.5	Station 32413 - 1000 NM WestNorthwest of Lima- Peru	
883	-7.2333	72.4333	UK - Diego Garcia 	
2515	-6.6928	156.4086	Solomon Islands - Tarekukure_Wharf_SB	
1020	-6.482942	105.6634	Indonesia - Tanjung Lesung 	
1038	-6.15	39.1833	Tanzania - Zanzibar 	
65	-5.3633	165.0467	Station 52406 - 450 NM Northeast of the Guadalcanal	
868	-5.3461	102.2781	Indonesia - Enggano 	
972	-4.78333	11.83333	Congo (Brazzaville) - Pointe Noire 	
925	-4.5	55.5	Seychelles - Pt.LaRue 	
940	-4.0667	39.39	Kenya - Mombasa 	
1295	-3.8	55.667	Seychelles - Denis Island	
877	-3.716667	-38.4667	Brasil - Fortaleza 	
1271	-3.683	128.183	Indonesia - Ambon	
998	-3.224167	101.5994	Indonesia - Seblat 	
906	-2.801	-171.718	Kiribati - Kanton_KI 	
1566	-2.789167	98.92194	GITEWS TS10	
923	-2.2667	40.9	Kenya - Lamu 	
921	-2.209	-80.902	Ecuador - La_Libertad_EC 	
929	-2.0421	147.3737	Papua New Guinea - Lombrum_Manus_Is_PG 	
957	-0.95	100.3667	Indonesia - Padang 	
1367	-0.95	100.367	Indonesia - Padang2	
994	-0.752	-90.307	Ecuador - SantaCruz Galapagos	
1480	-0.53	98.5	Indonesia - Tanabalah 	
817	-0.433	-90.283	Ecuador - Baltra Galapagos_EC	
54	0.05	91.88333	Indonesia	
16	0.05	91.9	Station 53401 - Indonesia	
1018	0.554	97.822	Indonesia - Telukdalam 	
882	0.6867	73.1517	Maldive Islands - Gan 	
1409	1.262	103.852	Singapore - Tanjong Pagar	
1410	1.363	172.93	Kiribati - Tarawa	
1281	1.45	125.2	Indonesia - Bitung	
1554	1.733	98.8	Indonesia - Sibolga 	
1001	1.7333	98.8	Indonesia - Sibolga 	
1561	1.82	-78.729	Colombia - Tumaco 	
1432	1.984	-157.473	Kiribati - Christmas	
1496	3.891	-77.081	Colombia - Buenaventura 	
2523	4.0024	-81.6042	Colombia - Malpelo	
51	4.00334	145.536	430 NM Southwest of Truk	
1006	4.005786	9.125922	Cameroon - Port Sonara 	
933	4.19	73.5267	Maldive Islands - Male 	
1340	4.127668	96.13029	Indonesia - Meulaboh	
2492	4.8846	-1.745	Ghana - Takoradi	
28	4.923316	-90.68517	710 NM West-Southwest of Panama City- Panama	
1550	5.833	95.333	Indonesia - Sabang 	
986	5.8333	95.3333	Indonesia - Sabang 	
1448	6.124	81.127	Sri Lanka - Hambantota 	
915	6.1966	81.32	Sri Lanka - Kirinda 	
919	6.25	3.24	 - Lagos 	
2541	6.255	88.792	Station 23227 - Bay of Bengal	
924	6.416	99.7667	Malaysia - Langkawi 	
891	6.7667	73.1667	Maldive Islands - Hanimadhoo 	
846	6.95	79.85	Sri Lanka - Colombo 	
845	6.95	79.85	Sri Lanka - Colombo 	
859	6.9806	158.2001	Micronesia - Dekehtik Pohnpei_FM	
857	7.08333	125.6333	Philippines - Davao_PH 	
1338	7.106	171.373	Marshall Islands - Majuro	
932	7.3282	134.4502	Palau Islands - Malakal 	
914	7.8167	98.4167	Thailand - Ko Taphao Noi 	
2526	8.05	93.55	India - Nancowry	
2525	8.28	73.05	India - Minicoy	
1023	8.5637	81.1996	Sri Lanka - Trinconmalee 	
916	8.7367	167.7383	USA - Kwajalein_MH 	
26	8.905	88.54	 600 NM West-Northwest of Phuket- Thailand	
1467	9.4	-84.167	Costa Rica - Quepos 	
1037	9.5142	138.1246	Micronesia - Yap Island 	
2519	9.96	76.26	India - Cochin	
1456	10	-83.033	Costa Rica - Limon 	
1031	10.34	107.071	Viet Nam - Vung Tau 	
36	10.83997	-100.085	360 NM South-Southwest of Acapulco- Mexico	
50	11.575	154.588	790 NM Northwest of Kwajalein	
861	11.6	43.1666	Djibouti - Djibouti 	
2530	11.68	92.76	India - Port Blair	
